host_response_rate,host_acceptance_rate,host_listings_count,city,state,zipcode,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,minimum_nights,maximum_nights,number_of_reviews,room_type
N/A,N/A,1,Washington,DC,20009,38.92245,-77.03437,2,1,1,2,$81.00 ,$250.00 ,$90.00 ,4,15,9,Entire home/apt
100%,N/A,1,Washington,DC,20009,38.92782,-77.03985,2,1,1,1,$80.00 ,,,2,30,24,Entire home/apt
N/A,N/A,1,Washington,DC,20009,38.9244,-77.03475,2,1,1,1,$107.00 ,$100.00 ,$35.00 ,2,10,70,Entire home/apt
100%,N/A,0,"Washington, D.C.",DC,20010,38.93516,-77.04503,6,2.5,3,5,$300.00 ,$500.00 ,$125.00 ,3,8,24,Entire home/apt
50%,N/A,1,Washington,DC,20002,38.8933,-76.99714,5,1,1,1,$120.00 ,,$50.00 ,1,7,90,Entire home/apt
100%,N/A,2,Washington,DC,20016,38.94663,-77.09255,2,1,1,1,$100.00 ,,,5,1125,48,Entire home/apt
79%,N/A,44,Washington,DC,20010,38.9384,-77.02363,1,2,1,1,$39.00 ,,$20.00 ,28,365,10,Private room
79%,N/A,44,Washington,DC,20010,38.93656,-77.02377,1,2,1,1,$35.00 ,,$15.00 ,28,365,9,Private room
100%,N/A,3,Washington,DC,20010,38.93574,-77.02094,5,1,1,2,$135.00 ,$250.00 ,$85.00 ,2,365,57,Private room
88%,N/A,7,Washington,DC,20005,38.90698,-77.02699,10,2.5,4,5,$500.00 ,$500.00 ,$120.00 ,2,365,154,Entire home/apt
N/A,N/A,1,Washington,DC,20001,38.91427,-77.01162,1,1,1,1,$275.00 ,"$1,000.00 ",$100.00 ,1,200,1,Private room
100%,N/A,3,Washington,DC,20037,38.89961,-77.05293,6,2,3,3,$310.00 ,$150.00 ,$150.00 ,2,1125,141,Entire home/apt
100%,N/A,3,Washington,DC,20037,38.89879,-77.05287,6,2,2,3,$265.00 ,$150.00 ,$150.00 ,2,1125,87,Entire home/apt
100%,N/A,3,Washington,DC,20017,38.93239,-76.98784,5,1.5,2,4,$125.00 ,$0.00 ,$100.00 ,3,356,26,Entire home/apt
100%,N/A,4,Washington,DC,20001,38.91066,-77.02191,2,1,1,1,$72.00 ,$200.00 ,$40.00 ,5,1125,25,Private room
100%,N/A,1,Washington,DC,20002,38.9043,-76.98946,2,1,1,1,$85.00 ,$0.00 ,$0.00 ,3,6,62,Private room
100%,N/A,3,Washington,DC,20011,38.94265,-77.03353,2,1,1,1,$82.00 ,$0.00 ,$25.00 ,7,365,11,Private room
100%,N/A,1,Washington,DC,20001,38.90616,-77.02309,2,1,1,1,$120.00 ,,$20.00 ,2,4,28,Entire home/apt
100%,N/A,3,Washington,DC,20011,38.9434,-77.03368,2,3,1,1,$65.00 ,,,1,1125,14,Private room
93%,N/A,3,Washington,DC,20015,38.96054,-77.08333,2,1.5,1,1,$92.00 ,,,2,21,308,Private room
N/A,N/A,4,"Washington, D.C.",DC,20011,38.9654,-77.02843,1,1,1,1,$50.00 ,,,14,187,5,Entire home/apt
N/A,N/A,1,Washington,DC,20009,38.92633,-77.035,6,2.5,2,3,$200.00 ,$600.00 ,$100.00 ,2,27,50,Entire home/apt
100%,N/A,2,Washington,DC,20010,38.93555,-77.02737,2,1,1,1,$99.00 ,$500.00 ,$70.00 ,7,365,36,Entire home/apt
100%,N/A,1,Washington,DC,20005,38.90879,-77.03345,2,1,1,0,$129.00 ,$250.00 ,,3,120,204,Entire home/apt
N/A,N/A,1,Washington,DC,20002,38.8976,-76.99692,2,1,1,1,$90.00 ,,$38.00 ,3,300,81,Private room
90%,N/A,3,Washington,DC,20036,38.90923,-77.03959,2,1,1,1,$110.00 ,,$50.00 ,15,365,58,Entire home/apt
100%,N/A,1,Washington,DC,20002,38.89165,-76.99332,6,2.5,3,5,$225.00 ,$250.00 ,$125.00 ,2,10,85,Entire home/apt
100%,N/A,4,Washington,DC,20009,38.91315,-77.04173,6,2,3,3,$350.00 ,$0.00 ,$250.00 ,3,1124,61,Entire home/apt
88%,N/A,7,Washington,DC,20002,38.89424,-76.98891,9,4,4,5,$450.00 ,$500.00 ,$120.00 ,2,120,55,Entire home/apt
100%,N/A,1,Washington,DC,20011,38.94755,-77.03105,1,1,1,1,$30.00 ,$250.00 ,$150.00 ,28,240,22,Private room
N/A,N/A,1,Washington,DC,20011,38.9654,-77.02368,2,1,1,1,$25.00 ,,$20.00 ,1,4,32,Private room
100%,N/A,1,Washington,DC,20005,38.90902,-77.03318,4,1,0,1,$120.00 ,$100.00 ,$40.00 ,2,365,294,Entire home/apt
N/A,N/A,2,Washington,DC,20003,38.8805,-76.98606,2,1,1,1,$70.00 ,$0.00 ,$60.00 ,4,1125,5,Private room
100%,N/A,1,Washington,DC,20011,38.95098,-77.02859,2,1,1,1,$100.00 ,$99.00 ,$55.00 ,3,10,50,Entire home/apt
99%,N/A,8,Washington,DC,20005,38.90791,-77.03514,6,2,2,3,$139.00 ,"$1,000.00 ",$50.00 ,1,27,213,Entire home/apt
N/A,N/A,1,Washington,DC,20001,38.91517,-77.01648,4,2.5,2,2,$150.00 ,$200.00 ,$80.00 ,2,14,18,Entire home/apt
100%,N/A,1,Washington,DC,20011,38.94995,-77.02011,11,3,3,4,$240.00 ,$0.00 ,$125.00 ,1,365,317,Entire home/apt
N/A,N/A,1,Washington,DC,20005,38.90958,-77.03147,6,2,2,3,$345.00 ,,$80.00 ,3,1125,82,Entire home/apt
100%,N/A,6,Washington,DC,20037,38.90959,-77.04706,6,1,1,3,$199.00 ,$400.00 ,$55.00 ,1,89,311,Entire home/apt
N/A,N/A,1,Washington,DC,20010,38.92963,-77.04086,4,1.5,4,2,$200.00 ,"$4,300.00 ",,300,360,0,Entire home/apt
100%,N/A,1,Washington,DC,20003,38.88854,-76.98575,2,1,1,1,$125.00 ,$0.00 ,$70.00 ,20,90,67,Entire home/apt
N/A,N/A,1,Washington,DC,20009,38.92275,-77.04161,2,2,2,2,$120.00 ,,,180,180,0,Entire home/apt
100%,N/A,2,Washington,DC,20003,38.8811,-77.00123,3,1,,1,$100.00 ,$100.00 ,$80.00 ,2,1125,119,Entire home/apt
N/A,N/A,1,Washington,DC,20009,38.91669,-77.04373,2,1,1,1,$84.00 ,,$40.00 ,30,1125,179,Entire home/apt
N/A,N/A,2,Washington,DC,20005,38.9104,-77.03463,4,2,2,2,$131.00 ,$200.00 ,$115.00 ,2,60,7,Entire home/apt
100%,N/A,1,Washington,DC,20009,38.91588,-77.02539,2,2,1,1,$95.00 ,$200.00 ,$60.00 ,3,150,57,Private room
100%,N/A,1,Washington,DC,20001,38.91118,-77.02282,2,1,1,1,$125.00 ,$0.00 ,$0.00 ,2,100,24,Entire home/apt
100%,N/A,1,Washington,DC,20007,38.90286,-77.06302,5,1.5,3,5,$399.00 ,$400.00 ,$100.00 ,2,1125,17,Entire home/apt
N/A,N/A,1,Washington,DC,20011,38.93959,-77.03818,4,1,1,4,$99.00 ,$300.00 ,$20.00 ,7,30,11,Entire home/apt
88%,N/A,4,Washington,DC,20002,38.91445,-77.00144,4,1,1,1,$95.00 ,$100.00 ,$40.00 ,1,13,401,Entire home/apt
N/A,N/A,1,Washington,DC,20036,38.90894,-77.04471,2,2,1,1,$105.00 ,$0.00 ,$0.00 ,7,1125,7,Entire home/apt
100%,N/A,3,Washington,DC,20011,38.9434,-77.03441,1,1,1,0,$60.00 ,,,1,365,138,Private room
100%,N/A,2,Washington,DC,20002,38.90387,-77.00138,8,2,2,5,$244.00 ,$0.00 ,$124.00 ,2,89,181,Entire home/apt
100%,N/A,7,Washington,DC,20009,38.9276,-77.03764,2,1,1,1,$129.00 ,$300.00 ,$200.00 ,120,1120,7,Entire home/apt
100%,N/A,3,Washington,DC,20010,38.93049,-77.044,10,3.5,4,4,$350.00 ,$500.00 ,$200.00 ,3,21,17,Entire home/apt
100%,N/A,2,Washington,DC,20036,38.90796,-77.04041,2,1,0,2,$86.00 ,$800.00 ,$60.00 ,360,1120,20,Entire home/apt
90%,N/A,2,Washington,DC,20020,38.86182,-76.9894,1,1,1,1,$60.00 ,,,2,6,36,Private room
N/A,N/A,1,Washington,DC,20008,38.94994,-77.06771,4,1,1,1,$105.00 ,$500.00 ,$75.00 ,1,365,36,Entire home/apt
100%,N/A,2,Washington,DC,20003,38.88131,-76.9966,3,1,1,1,$139.00 ,$449.00 ,$65.00 ,4,365,106,Entire home/apt
100%,N/A,17,Washington,DC,20024,38.87209,-77.01191,2,1,1,1,$68.00 ,$200.00 ,$20.00 ,1,1125,273,Private room
100%,N/A,1,Washington,DC,20009,38.92919,-77.02708,1,1,1,1,$80.00 ,$250.00 ,$45.00 ,2,10,14,Private room
100%,N/A,1,Washington,DC,20016,38.92987,-77.08388,2,1,1,1,$125.00 ,,,2,365,15,Entire home/apt
N/A,N/A,1,Washington,DC,20002,38.8972,-76.98142,7,2,3,3,$350.00 ,$250.00 ,$50.00 ,3,1125,2,Entire home/apt
100%,N/A,4,Washington,DC,20015,38.96667,-77.07698,2,1,1,1,$89.00 ,$100.00 ,$50.00 ,1,1125,293,Private room
100%,N/A,9,Washington,DC,20002,38.89155,-76.99749,4,2.5,2,2,$400.00 ,$200.00 ,$170.00 ,2,10,24,Entire home/apt
100%,N/A,1,Washington,DC,20010,38.93461,-77.04668,2,1.5,2,2,$165.00 ,$400.00 ,$100.00 ,2,1125,12,Entire home/apt
N/A,N/A,1,Washington,DC,20008,38.92401,-77.05854,2,1,0,1,$175.00 ,$200.00 ,$80.00 ,2,28,82,Entire home/apt
100%,N/A,1,Washington,DC,20011,38.94099,-77.02121,4,1,1,2,$70.00 ,$0.00 ,$65.00 ,2,1125,62,Entire home/apt
100%,N/A,13,Washington,DC,20002,38.89959,-77.00006,4,1,1,2,$135.00 ,$100.00 ,$60.00 ,1,7,290,Entire home/apt
100%,N/A,2,Washington,DC,20009,38.9277,-77.03122,4,1,1,2,$110.00 ,$400.00 ,$90.00 ,4,180,206,Entire home/apt
100%,N/A,1,Washington,DC,20001,38.9188,-77.01541,4,3,3,3,$150.00 ,$0.00 ,$90.00 ,3,28,6,Entire home/apt
N/A,N/A,2,Washington,DC,20002,38.89732,-77.00029,3,1,1,1,$350.00 ,$0.00 ,$50.00 ,3,10,29,Entire home/apt
100%,N/A,1,Washington,DC,20010,38.93246,-77.04259,4,1,1,2,$99.00 ,$150.00 ,$45.00 ,2,30,156,Entire home/apt
100%,N/A,1,Washington,DC,20010,38.93771,-77.02872,4,1,1,3,$135.00 ,,,2,1125,23,Entire home/apt
100%,N/A,23,Washington,DC,20009,38.91688,-77.03976,3,1,1,2,$143.00 ,,$70.00 ,3,712,40,Entire home/apt
N/A,N/A,2,Washington,DC,20018,38.92691,-76.95803,2,1,1,1,$69.00 ,"$1,000.00 ",$50.00 ,1,2000,2,Private room
N/A,N/A,4,Washington,DC,20007,38.90921,-77.06491,6,3.5,3,3,$250.00 ,$0.00 ,$0.00 ,29,150,2,Entire home/apt
N/A,N/A,1,Washington,DC,20011,38.94305,-77.03817,8,2.5,3,4,$65.00 ,$0.00 ,$100.00 ,4,25,10,Entire home/apt
100%,N/A,5,Washington,DC,20002,38.89921,-77.00038,4,1,1,1,$125.00 ,$0.00 ,$65.00 ,3,90,128,Entire home/apt
100%,N/A,1,Washington,DC,20001,38.91727,-77.0113,4,1,2,2,$100.00 ,$175.00 ,$60.00 ,2,1125,63,Entire home/apt
100%,N/A,1,Washington,DC,20008,38.91233,-77.04941,2,1,1,1,$92.00 ,$0.00 ,$130.00 ,2,1125,163,Entire home/apt
100%,N/A,1,Washington,DC,20002,38.89568,-76.99347,8,2.5,3,4,$325.00 ,$100.00 ,$150.00 ,3,365,145,Entire home/apt
N/A,N/A,1,Washington,DC,20001,38.90099,-77.01943,2,1,1,1,$150.00 ,,,1,1125,4,Private room
N/A,N/A,2,Washington,DC,20009,38.92519,-77.02925,2,1,1,2,$45.00 ,$0.00 ,$75.00 ,3,180,26,Private room
100%,N/A,3,Washington,DC,20001,38.91362,-77.02272,2,1,1,1,$90.00 ,,$50.00 ,3,1125,173,Private room
N/A,N/A,1,Washington,DC,20011,38.96963,-77.02521,3,1,1,1,$70.00 ,,$50.00 ,2,1125,99,Private room
N/A,N/A,1,Washington,DC,,38.90858,-77.06249,2,1,1,1,$150.00 ,,,3,7,0,Entire home/apt
100%,N/A,1,Washington,DC,20007,38.9063,-77.06884,5,2,2,2,$275.00 ,$150.00 ,$50.00 ,1,26,135,Entire home/apt
100%,N/A,2,Washington,DC,20003,38.88053,-76.9954,8,3,3,3,$395.00 ,$0.00 ,$175.00 ,2,1125,63,Entire home/apt
100%,N/A,7,Washington,DC,20009,38.92761,-77.03765,2,1,0,1,$129.00 ,$250.00 ,$200.00 ,5,900,18,Entire home/apt
N/A,N/A,1,Washington,DC,20010,38.93105,-77.0257,2,1,1,1,$120.00 ,$250.00 ,$60.00 ,20,90,16,Private room
98%,N/A,3,Washington,DC,20010,38.93384,-77.02782,8,1,2,3,$85.00 ,$300.00 ,$60.00 ,1,14,339,Entire home/apt
N/A,N/A,1,Washington,DC,,38.93063,-77.05713,4,2.5,3,3,$850.00 ,,$250.00 ,2,3,0,Entire home/apt
98%,N/A,54,Washington,DC,20001,38.90434,-77.02615,6,1,0,4,$225.00 ,$0.00 ,$120.00 ,3,999,188,Entire home/apt
90%,N/A,1,Washington,DC,20010,38.93143,-77.02286,4,1,1,1,$95.00 ,$150.00 ,$65.00 ,3,1125,38,Entire home/apt
100%,N/A,2,Washington,DC,20010,38.9338,-77.0273,5,2.5,3,2,$399.00 ,$250.00 ,$175.00 ,2,14,12,Entire home/apt
98%,N/A,54,Washington,DC,20001,38.90474,-77.02741,6,1.5,2,2,$350.00 ,$0.00 ,$150.00 ,3,999,154,Entire home/apt
98%,N/A,54,Washington,DC,20001,38.90421,-77.02733,15,3,5,8,$575.00 ,$0.00 ,$250.00 ,3,999,185,Entire home/apt
98%,N/A,54,Washington,DC,20001,38.90462,-77.02704,5,1,1,3,$195.00 ,$0.00 ,$125.00 ,3,999,197,Entire home/apt
100%,N/A,1,Washington,DC,20010,38.93252,-77.02584,3,1,1,1,$89.00 ,$500.00 ,$65.00 ,2,27,38,Entire home/apt
N/A,N/A,2,"Washington, D.C.",DC,20018,38.92904,-76.95944,2,1,1,1,$69.00 ,"$1,000.00 ",$50.00 ,1,1125,2,Private room
100%,N/A,1,Washington,DC,20010,38.9383,-77.03171,2,1,0,1,$100.00 ,$200.00 ,$100.00 ,3,1125,26,Entire home/apt
98%,N/A,54,Washington,DC,20008,38.91373,-77.04713,6,2.5,2,3,$450.00 ,$0.00 ,$175.00 ,3,1125,157,Entire home/apt
100%,N/A,1,Washington,DC,20003,38.88177,-77.00116,6,1,2,2,$500.00 ,$500.00 ,$75.00 ,2,14,4,Entire home/apt
N/A,N/A,1,Washington,DC,20010,38.92943,-77.02364,6,2.5,3,3,"$1,200.00 ",$100.00 ,,2,4,0,Entire home/apt
90%,N/A,2,Washington,DC,20009,38.92328,-77.04052,1,1,1,1,$79.00 ,$450.00 ,$35.00 ,1,1125,52,Private room
100%,N/A,1,Washington,DC,20016,38.95706,-77.08675,2,1.5,1,2,$90.00 ,,$10.00 ,2,14,239,Private room
98%,N/A,54,Washington,DC,20002,38.89074,-77.00164,8,1.5,3,5,$495.00 ,$0.00 ,$200.00 ,3,999,121,Entire home/apt
100%,N/A,3,Washington,DC,20009,38.9147,-77.0402,2,1,1,1,$145.00 ,$250.00 ,$65.00 ,4,1125,128,Entire home/apt
98%,N/A,54,Washington,DC,20003,38.88728,-76.98906,6,1,2,3,$175.00 ,$0.00 ,$150.00 ,3,999,90,Entire home/apt
98%,N/A,54,Washington,DC,20003,38.88776,-76.99031,6,2.5,2,3,$300.00 ,$0.00 ,$150.00 ,3,999,109,Entire home/apt
98%,N/A,54,Washington,DC,20009,38.91267,-77.03333,16,6,8,13,"$1,200.00 ",$0.00 ,$450.00 ,3,1125,114,Entire home/apt
98%,N/A,54,Washington,DC,20008,38.91301,-77.04844,5,1,1,3,$275.00 ,,$150.00 ,3,1125,90,Entire home/apt
100%,N/A,1,Washington,DC,20003,38.88249,-76.99172,4,1,1,1,$145.00 ,$500.00 ,$80.00 ,3,10,144,Entire home/apt
100%,N/A,1,Washington,DC,20002,38.90492,-76.98795,2,1,1,2,$75.00 ,$400.00 ,$60.00 ,4,150,76,Entire home/apt
N/A,N/A,1,"Washington, D.C.",DC,20011,38.94012,-77.03388,2,1.5,1,1,$40.00 ,,$15.00 ,1,1125,43,Private room
100%,N/A,7,"Washington, D.C.",DC,20002,38.89327,-76.99019,4,1,1,2,$129.00 ,$0.00 ,$60.00 ,1,1125,275,Entire home/apt
93%,N/A,3,"Washington, D.C.",DC,20015,38.96094,-77.08446,2,,1,1,$75.00 ,,,1,90,226,Private room
100%,N/A,1,"Washington, D.C.",DC,20001,38.91181,-77.01764,4,1,1,2,$115.00 ,$0.00 ,$65.00 ,2,365,318,Entire home/apt
N/A,N/A,1,"Washington, D.C.",DC,20002,38.90623,-77.00353,5,2,2,2,"$1,000.00 ",$225.00 ,,4,30,9,Entire home/apt
100%,N/A,2,Washington,DC,20009,38.91983,-77.0393,1,1,1,1,$89.00 ,$400.00 ,$75.00 ,3,365,68,Private room
67%,N/A,3,Washington,DC,20001,38.90602,-77.01825,4,2,2,2,$222.00 ,$0.00 ,$60.00 ,4,90,62,Entire home/apt
100%,N/A,1,Washington,DC,20002,38.90597,-77.00021,2,1,0,1,$95.00 ,$200.00 ,$50.00 ,2,100,210,Entire home/apt
90%,N/A,1,Washington,DC,20009,38.92305,-77.03025,2,1,1,1,$100.00 ,,$65.00 ,2,1125,37,Private room
100%,N/A,2,Washington,DC,20009,38.91633,-77.04315,4,2.5,2,2,$280.00 ,,,3,1125,0,Entire home/apt
100%,N/A,1,"Washington, D.C.",DC,20003,38.88527,-76.98368,4,1,0,1,$99.00 ,$250.00 ,$35.00 ,3,12,140,Entire home/apt
100%,N/A,1,"Washington, D.C.",DC,20009,38.91743,-77.03763,6,2,2,2,$135.00 ,$250.00 ,$250.00 ,60,1125,22,Entire home/apt
100%,N/A,0,Washington,DC,20002,38.89603,-76.9714,2,1,1,1,$86.00 ,,,1,30,69,Private room
100%,N/A,1,Washington,DC,20010,38.93111,-77.03131,2,1,0,1,$65.00 ,$0.00 ,$25.00 ,1,1125,62,Entire home/apt
100%,N/A,2,"Washington, D.C.",DC,20001,38.91371,-77.01435,6,2.5,3,3,$450.00 ,$500.00 ,$175.00 ,3,1125,77,Entire home/apt
100%,N/A,1,Washington,DC,20009,38.92562,-77.03453,2,1,1,1,$100.00 ,$0.00 ,$35.00 ,4,65,19,Entire home/apt
N/A,N/A,1,Washington,DC,20010,38.92914,-77.04176,8,1.5,4,5,$325.00 ,$0.00 ,$120.00 ,3,1125,58,Entire home/apt
100%,N/A,2,Washington,DC,20010,38.93115,-77.03846,6,1,1,3,$99.00 ,$500.00 ,$65.00 ,2,1125,323,Entire home/apt
90%,N/A,1,Washington,DC,20003,38.88888,-76.99376,3,1,1,3,$150.00 ,,,1,1125,141,Entire home/apt
100%,N/A,1,Washington,DC,20003,38.8894,-76.98665,1,2.5,1,0,$85.00 ,$0.00 ,$0.00 ,3,365,63,Private room
100%,N/A,1,Washington,DC,20009,38.92364,-77.04303,2,1,0,1,$150.00 ,$0.00 ,$65.00 ,2,1125,30,Entire home/apt
100%,N/A,7,Washington,DC,20009,38.9285,-77.03671,5,2,2,2,$229.00 ,$300.00 ,$200.00 ,5,21,2,Entire home/apt
100%,N/A,4,Washington,DC,20003,38.88953,-77.00101,8,1,2,3,$284.00 ,$500.00 ,$100.00 ,1,2147483647,93,Entire home/apt
100%,N/A,0,Washington,DC,20009,38.92617,-77.04329,4,1,1,2,$110.00 ,$250.00 ,$60.00 ,2,12,0,Entire home/apt
100%,N/A,4,Washington,DC,20003,38.88873,-77.00246,5,1,1,1,$197.00 ,$500.00 ,$100.00 ,1,1125,52,Entire home/apt
100%,N/A,5,Washington,DC,20032,38.8418,-76.97696,3,1.5,1,1,$49.00 ,$100.00 ,$20.00 ,2,120,130,Private room
N/A,N/A,1,Washington,DC,20001,38.91286,-77.02218,4,1,2,2,$220.00 ,,$50.00 ,7,1125,16,Entire home/apt
100%,N/A,1,Washington,DC,20002,38.89563,-76.99516,3,1,2,2,$115.00 ,$500.00 ,$75.00 ,2,365,36,Entire home/apt
N/A,N/A,1,Washington,DC,20003,38.88397,-76.98605,9,3.5,3,5,$140.00 ,,$100.00 ,2,1125,6,Entire home/apt
N/A,N/A,2,Washington,DC,20009,38.91464,-77.04129,2,1,1,1,$125.00 ,$0.00 ,$30.00 ,2,7,2,Private room
100%,N/A,2,Washington,DC,20012,38.96788,-77.00875,2,1,1,1,$25.00 ,$700.00 ,$0.00 ,30,1125,2,Private room
N/A,N/A,1,Washington,DC,20009,38.91559,-77.03305,3,1,0,1,$85.00 ,,$40.00 ,2,1125,17,Entire home/apt
100%,N/A,2,Washington,DC,20012,38.96895,-77.00858,2,1,1,1,$30.00 ,$800.00 ,,30,1125,6,Private room
100%,N/A,2,Washington,DC,20005,38.90669,-77.03305,2,1,1,1,$90.00 ,$0.00 ,$0.00 ,2,8,479,Private room
N/A,N/A,1,Washington,DC,20011,38.94422,-77.01587,2,1,0,1,$85.00 ,$200.00 ,$50.00 ,2,7,137,Entire home/apt
98%,N/A,440,Washington,DC,20005,38.90019,-77.03385,3,1,1,2,$215.00 ,,$100.00 ,3,1125,9,Entire home/apt
100%,N/A,1,Washington,DC,20010,38.93498,-77.0418,4,2,2,3,$115.00 ,$250.00 ,$85.00 ,4,14,6,Entire home/apt
98%,N/A,440,Washington,DC,20005,38.90046,-77.0323,5,2,2,3,$272.00 ,,$100.00 ,3,1125,25,Entire home/apt
100%,N/A,5,Washington,DC,20032,38.84223,-76.97642,4,1.5,1,1,$54.00 ,$100.00 ,$20.00 ,2,120,119,Private room
100%,N/A,1,Washington,DC,20018,38.92318,-76.99356,8,1,1,2,$100.00 ,$0.00 ,$175.00 ,2,28,46,Entire home/apt
100%,N/A,1,Washington,DC,20009,38.9298,-77.02745,1,1,1,1,$60.00 ,$200.00 ,$40.00 ,3,32,18,Private room
100%,N/A,2,Washington,DC,20009,38.91554,-77.04218,4,1,0,3,$155.00 ,$300.00 ,$48.00 ,1,30,220,Entire home/apt
100%,N/A,1,Washington,DC,20003,38.88417,-76.98113,1,1,1,1,$60.00 ,$100.00 ,$100.00 ,2,180,137,Private room
100%,N/A,6,Washington,DC,20001,38.90643,-77.02501,5,1,1,3,$117.00 ,$0.00 ,$20.00 ,15,1125,48,Entire home/apt
100%,N/A,1,Washington,DC,20002,38.91763,-77.0049,2,2,1,1,$70.00 ,$100.00 ,,2,365,374,Private room
100%,N/A,1,Washington,DC,20012,38.98979,-77.04603,4,1,2,3,$90.00 ,,$10.00 ,2,1125,120,Private room
100%,N/A,4,Washington,DC,20002,38.90159,-76.99919,4,1,2,2,$128.00 ,$500.00 ,$95.00 ,1,1125,172,Entire home/apt
N/A,N/A,2,Washington,DC,20011,38.947,-77.02415,3,1,0,1,$100.00 ,,$30.00 ,2,1125,0,Entire home/apt
N/A,N/A,1,Washington,DC,20010,38.93442,-77.02683,2,1,1,1,$50.00 ,,,1,1125,0,Private room
100%,N/A,1,Washington,DC,20016,38.95243,-77.07164,3,1,1,2,$124.00 ,$0.00 ,$95.00 ,3,30,176,Entire home/apt
N/A,N/A,1,Washington,DC,20009,38.91974,-77.048,2,1,1,1,$96.00 ,$95.00 ,,1,1125,11,Entire home/apt
N/A,N/A,1,Washington,DC,20001,38.91863,-77.01352,4,1,1,2,$99.00 ,,,2,19,36,Entire home/apt
100%,N/A,2,Washington,DC,20002,38.90386,-76.98219,6,1,1,1,$99.00 ,$100.00 ,$35.00 ,2,120,351,Entire home/apt
100%,N/A,2,Washington,DC,20009,38.91896,-77.04659,3,1,2,2,$135.00 ,,$200.00 ,180,365,0,Entire home/apt
N/A,N/A,1,Washington,DC,20009,38.9118,-77.03821,2,1,0,1,$75.00 ,,,3,30,13,Entire home/apt
100%,N/A,1,Washington,DC,20012,38.97947,-77.02299,2,1,1,1,$79.00 ,$0.00 ,$50.00 ,3,365,113,Entire home/apt
N/A,N/A,1,Washington,DC,20010,38.93598,-77.02116,1,1,1,1,$88.00 ,,$50.00 ,2,40,20,Private room
100%,N/A,30,Washington,DC,20003,38.88946,-77.00131,4,1,2,2,$195.00 ,$0.00 ,$125.00 ,2,500,18,Entire home/apt
N/A,N/A,1,Washington,DC,20003,38.88622,-76.97876,6,2,3,4,$200.00 ,$100.00 ,,3,1125,4,Entire home/apt
100%,N/A,2,Washington,DC,20009,38.9196,-77.04135,2,1,0,0,$109.00 ,$200.00 ,$99.00 ,4,365,116,Entire home/apt
100%,N/A,10,Washington,DC,20018,38.91887,-76.98391,2,1,1,1,$60.00 ,$0.00 ,$200.00 ,90,1100,78,Private room
N/A,N/A,2,Washington,DC,20002,38.9242,-77.00866,6,2.5,3,3,$199.00 ,$500.00 ,$100.00 ,2,1125,1,Entire home/apt
100%,N/A,2,Washington,DC,20009,38.92061,-77.03966,1,1,1,1,$85.00 ,$200.00 ,$50.00 ,3,3,3,Shared room
100%,N/A,30,Washington,DC,20002,38.89007,-77.00247,4,1,1,2,$185.00 ,$0.00 ,$110.00 ,30,500,10,Entire home/apt
N/A,N/A,1,Washington,DC,20001,38.91491,-77.01377,7,2.5,3,3,$175.00 ,,$100.00 ,2,1125,0,Entire home/apt
N/A,N/A,1,Washington,DC,20015,38.96322,-77.07777,10,5.5,5,5,"$2,159.00 ",,,3,5,0,Entire home/apt
N/A,N/A,1,Washington,DC,20037,38.90825,-77.04781,4,1,0,3,$149.00 ,$500.00 ,$99.00 ,3,1125,32,Entire home/apt
100%,N/A,2,Washington,DC,20001,38.9188,-77.00994,2,1,1,1,$75.00 ,,$25.00 ,2,7,283,Entire home/apt
N/A,N/A,1,Washington,DC,20001,38.89959,-77.0027,4,1,1,1,$98.00 ,$200.00 ,$20.00 ,3,90,28,Private room
100%,N/A,2,Washington,DC,20007,38.90606,-77.0805,6,2.5,3,4,$260.00 ,$200.00 ,$130.00 ,3,60,77,Entire home/apt
100%,N/A,2,Washington,DC,20002,38.90379,-77.00267,2,1.5,1,1,$94.00 ,$0.00 ,$99.00 ,2,1124,117,Private room
N/A,N/A,1,Washington,DC,20009,38.90994,-77.03248,2,2,2,2,$375.00 ,,,1,4,0,Private room
100%,N/A,5,Washington,DC,20012,38.96836,-77.02517,1,1,1,1,$60.00 ,$0.00 ,$35.00 ,1,1125,11,Private room
100%,N/A,3,Washington,DC,20016,38.94907,-77.10024,4,2.5,3,3,$300.00 ,$300.00 ,$175.00 ,3,1125,1,Entire home/apt
100%,N/A,1,Washington,DC,20015,38.97723,-77.05835,2,1,1,1,$80.00 ,,$100.00 ,5,90,11,Entire home/apt
0%,N/A,1,Washington,DC,20002,38.89957,-76.99737,2,1,1,1,$85.00 ,,,7,180,7,Private room
100%,N/A,1,Washington,DC,20002,38.92398,-77.0004,2,1,0,1,$88.00 ,$250.00 ,$35.00 ,2,21,250,Entire home/apt
100%,N/A,2,Washington,DC,20009,38.91016,-77.04186,4,1,1,1,$199.00 ,$250.00 ,$100.00 ,60,1000,110,Entire home/apt
50%,N/A,2,Washington,DC,20018,38.92656,-76.96906,4,1,1,2,$95.00 ,$0.00 ,$40.00 ,4,1125,135,Entire home/apt
N/A,N/A,1,Washington,DC,20007,38.91757,-77.09683,3,1,1,1,$165.00 ,,$25.00 ,1,1125,5,Entire home/apt
100%,N/A,1,Washington,DC,20010,38.93131,-77.02674,6,1,2,2,$137.00 ,$100.00 ,$95.00 ,2,28,239,Entire home/apt
